plate_number,classify,category,description,language,unknown
XJATT13X,Reject,C,"""The combination of JATT and the number 13 (Tera) has strong religious connotations in Sikhism, making it an unacceptable religious reference.""",Punjabi,7/21/2025
xkxxx,Reject,A,"""The sequence XXX is a widely recognized symbol for pornography and sexually explicit content, making the plate inappropriate.""",English,7/18/2025
XSIDHHU,Reject,G,"""The sequence HH is a known abbreviation for Heil Hitler, a symbol of Nazism and hate speech, which is discriminatory.""",German,7/21/2025
yan2688,Approve,,,Chinese,7/19/2025
yeaa.mon,Reject,D,"""The phrase Yeah mon is strongly associated with Rastafarian culture and its connection to marijuana, constituting an indirect reference to drugs.""",English,7/19/2025
YPPNN,Reject,A,"""YPPNN is an acronym for a Chinese slang phrase meaning no underwear, which is sexually suggestive and inappropriate.""",Chinese,7/19/2025
ZKBAL,Reject,B,"""The plate ZKBAL is phonetically similar to the Arabic word for garbage or trash, which is considered a derogatory term.""",Arabic,7/21/2025
zora.7,Reject,B,"""The sequence ZORA is phonetically identical to zorra, a highly offensive and derogatory Spanish slang term for a woman.""",Spanish,7/18/2025
zorawxr,Reject,G,Zorawar is pointing to communities,English,7/21/2025
STRING,Approve,,,English,7/22/2025
aseman,Reject,A,"""The sequence seman is phonetically identical to semen, a term with a direct sexual meaning.""",English,7/21/2025
ashubaba,Reject,C,"""Baba is a title for a holy man or spiritual leader in many South Asian cultures, making Ashu Baba a reference to a religious figure.""",Hindi,7/18/2025
aukat.mc,Reject,B,"""Aukat is a Hindi/Urdu term for status or worth, often used in a derogatory or confrontational manner to put someone down.""",Hindi/Urdu,7/21/2025
AVEXWARE,Approve,,,English,7/18/2025
azzzman,Reject,A,"""The plate can be phonetically interpreted as Ass Man, which has a clear sexual connotation and is considered vulgar.""",English,7/21/2025
B4H4D1R,Reject,E,"""The plate spells Bahadir, a historical title of honor in Turkic and Mongol cultures, referencing dignitaries or nobility.""",Turkic,7/18/2025
barakah,Reject,C,"""Barakah is an Arabic word meaning blessing or divine grace and is a significant term in Islam, making it a religious reference.""",Arabic,7/21/2025
batth.gs,Approve,,,Punjabi,7/18/2025
bbb88bbb,Reject,G,"""The number 88 is a well-known white supremacist code for Heil Hitler, a symbol of hate and discrimination.""",German,7/21/2025
bblmiata,Reject,A,"""The acronym BBL stands for Brazilian Butt Lift, a reference to a cosmetic procedure that is considered sexually suggestive.""",English,7/18/2025
beat7es,Reject,F,"""The plate contains the word beat, which directly refers to a violent act and is therefore unacceptable.""",English,7/21/2025
BECARJR,Reject,B,"""Becar is a transliteration of the Hindi/Urdu word Bekar, which means useless or worthless and is considered derogatory slang.""",Hindi/Urdu,7/21/2025
bet.pro,Reject,F,"""The plate BET.PRO promotes professional gambling, which is considered an inappropriate activity to endorse on a government-issued license plate.""",English,7/18/2025
bewicked,Reject,C,"""The term wicked has strong religious connotations, referring to evil, sin, or witchcraft, making it inappropriate.""",English,7/21/2025
BH4VNEET,Approve,,,Punjabi,7/18/2025
bhau.oye,Reject,B,"""The phrase Bhau Oye is a rude and derogatory way to address someone in Punjabi/Hindi, which is considered abusive language.""",Punjabi/Hindi,7/21/2025
BOSS31,Reject,F,"""The term BOSS is often associated with the leader of a criminal organization, which falls under the category of criminal activity.""",English,7/18/2025
brorelax,Approve,,,English,7/21/2025
buong,Reject,D,"""BUONG is phonetically and visually similar to bong, a term for drug paraphernalia, making it an indirect reference to drug use.""",English,7/18/2025
busso,Reject,A,"""The word busso is a slang term in Italian for a sexual act, making it inappropriate for a license plate.""",Italian,7/21/2025
buz2z,Reject,D,"""The term buzz is a common slang for being intoxicated by alcohol, making the plate an inappropriate reference to alcohol consumption.""",English,7/18/2025
CANXRLTY,Approve,,,English,7/21/2025
chargd.c,Reject,F,"""The sequence CHARGD is interpreted as charged, which directly refers to being formally accused of a crime, a reference to criminal activity.""",English,7/18/2025
chd4life,Approve,,,English,7/21/2025
CHECK,Approve,,,English,7/18/2025
